Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
636840,0.49501387,0.42124419,0.40797699,0.03718751000670904,0.14733369681445407,172162.0,0.57901079,0.46960903
640446,0.49501387,0.42135663,0.40777023,0.03718751000670904,0.14733369681445407,173132.0,0.57744261,0.48694647
650328,0.49501387,0.42155785,0.40741479,0.03718751000670904,0.14733369681445407,175799.0,0.57590753,0.4768036
687038,0.49501387,0.42308844,0.40671292,0.03718751000670904,0.14733369681445407,185706.0,0.57231353,0.46441793
707540,0.49501387,0.42408921,0.40637313,0.03718751000670904,0.14733369681445407,191230.0,0.57097278,0.4675302
716528,0.49501387,0.42447924,0.40602335,0.03718751000670904,0.14733369681445407,193677.0,0.57005054,0.48749786
742774,0.49501387,0.42569773,0.40556023,0.03718751000670904,0.14733369681445407,200835.0,0.56865756,0.49365722
889110,0.49501387,0.43103317,0.40485247,0.03718751000670904,0.14733369681445407,240582.0,0.56057372,0.46824727
891727,0.49501387,0.4310728,0.40483488,0.03718751000670904,0.14733369681445407,241297.0,0.56048174,0.46824727
892040,0.49501387,0.43108003,0.40480221,0.03718751000670904,0.14733369681445407,241382.0,0.5600432,0.48627965
892348,0.49501387,0.4310514,0.40475272,0.03718751000670904,0.14733369681445407,241468.0,0.55993842,0.48627965
895984,0.49501387,0.43119089,0.40461188,0.03718751000670904,0.14733369681445407,242446.0,0.55945038,0.48721451
917540,0.49501387,0.43200114,0.4042361,0.03718751000670904,0.14733369681445407,248221.0,0.55837024,0.48023914
988726,0.49501387,0.43438697,0.40358726,0.03718751000670904,0.14733369681445407,267431.0,0.55605155,0.48161311
1026295,0.49501387,0.43555661,0.40328448,0.03718751000670904,0.14733369681445407,277489.0,0.55494566,0.49467056
1154696,0.49501387,0.43830164,0.40276735,0.03718751000670904,0.14733369681445407,311958.0,0.55095891,0.49442447
1676219,0.49501387,0.44855425,0.40187445,0.03718751000670904,0.14733369681445407,452860.0,0.54349625,0.49134049
2380241,0.49501387,0.45637106,0.40106848,0.03718751000670904,0.14733369681445407,642958.0,0.5359352,0.46378323
2697209,0.49501387,0.45843852,0.40067376,0.03718751000670904,0.14733369681445407,728476.0,0.53311155,0.47048041
2703580,0.49501387,0.45849924,0.4003829,0.03718751000670904,0.14733369681445407,730212.0,0.53215736,0.494106
2713850,0.49501387,0.4585815,0.40007241,0.03718751000670904,0.14733369681445407,733009.0,0.53209134,0.49469947
2778682,0.49501387,0.45874094,0.3996175,0.03718751000670904,0.14733369681445407,750585.0,0.53114589,0.49380058
2915361,0.49501387,0.45960602,0.39906353,0.03718751000670904,0.14733369681445407,787493.0,0.53017119,0.48492611
3417861,0.49501387,0.46229727,0.39823895,0.03718751000670904,0.14733369681445407,923230.0,0.52764,0.48589098
3418179,0.49501387,0.46229627,0.39822356,0.03718751000670904,0.14733369681445407,923317.0,0.52739204,0.49490717
3418759,0.49501387,0.46229557,0.39820365,0.03718751000670904,0.14733369681445407,923472.0,0.52739041,0.49490717
3702041,0.49501387,0.46349028,0.3980642,0.03718751000670904,0.14733369681445407,1000000.0,0.5258673,0.49321608
